A,B,f,ANAME,ANFOL,AFNAME,ADESCRIPTION,BNAME,BNFOL,BFNAME,BDESCRIPTION
528890147,4096090097,5,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
901893722857766912,304858372,5,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,lorquaphilip,3955,Maximus Decimus,"Général des armées romaines, commandant des légions Félix..."
494593786,4096090097,4,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
3373762791,1182764439902281729,4,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z
3373762791,1394491848,4,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",IsabelleSurply,7754,Isabelle SURPLY,"Conseillère régionale RN | 🇫🇷 | Chargée de com' | Resp. 3eme Circo Loire | Candidate à la Mairie de Saint-Chamond (42)| graphiste, musicienne et maman de 4 !"
112754792,1389044180,4,Valeurs,145860,Valeurs actuelles ن,"L'hebdo de la droite qui s'assume.
💻Facebook : https://bit.ly/2Q8mX3B
📸 Instagram : https://bit.ly/32AAWoD",justelebonsens,2816,justunpeudebonsens,"Dirigeant de pme, essaye d'être guidé par le bon sens. Modéré par nature, à droite, exaspéré par le sectarisme d'1 gauche idéologue et crétine. Droite où es-tu?"
2329034473,3373762791,4,tvlofficiel,49975,,"Compte officiel de la première chaîne d'information alternative de #France. #TVL #Politique #Economie #Santé #Geopolitique 
Soutenez-nous !",GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
727425382169849856,837182934683627525,4,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,Mazagan_Ft,2688,Tara F,"Liberté d'expression ! Contre le capitalisme mondialiste et ses armes : islam conquérant, immigration massive, UE, écologisme, ""antiracisme"", ""antifascisme""..."
112754792,1182764439902281729,4,Valeurs,145860,Valeurs actuelles ن,"L'hebdo de la droite qui s'assume.
💻Facebook : https://bit.ly/2Q8mX3B
📸 Instagram : https://bit.ly/32AAWoD",GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z
901893722857766912,528890147,4,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi
3480236423,3373762791,4,Ouestcetiti,7081,,"Corsica Sempre Corsa  
France  toujours France",GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
1121856729787043842,773877078752104453,4,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",Thompson_2017,2244,🎣bThompson #fxBellamy #MerciFF Matric.2342 🇫🇷,Le Trocadéro - le 5 mars 2017 #PrésidentielleTruquée - rdv manqué avec l'histoire pour la FR. Droite Trocadéro 🇫🇷 #fxBellamy #AvecAubert #ObjectifFrance #FR
4820481910,572122341,4,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein.",tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
727425382169849856,494593786,4,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |"
1182764439902281729,727425382169849856,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
3373762791,112153936,4,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",sylvita30,4125,Gauloise#Bellamy#NoBertrand/SPF,100% mes ancêtres ont défendu avec honneur la patrie et je la défendrai aussi. Gaulliste de naissance je serai gaulliste jusqu'au dernier souffle✝️✡️
4820481910,1153273982168313857,4,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein.",raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
4820481910,1121856729787043842,4,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein.",stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie."
494593786,4820481910,4,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
908678670218403840,2431761083,4,mbala_7,11554,Rabbi,"🐇Angel forever , Forever Angel 🕊                                        🇨🇩http://curiouscat.me/inbox",_AngeBRK,9495,A. 👩🏾,"Égalité, justice, amour. ✝️ #BlackLivesMatter. http://paypal.me/auberginedandi. https://twitter.com/_AngeBRK/status/1023254716585791488?s=20"
494593786,727425382169849856,4,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
112754792,572122341,4,Valeurs,145860,Valeurs actuelles ن,"L'hebdo de la droite qui s'assume.
💻Facebook : https://bit.ly/2Q8mX3B
📸 Instagram : https://bit.ly/32AAWoD",tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
33962372,837182934683627525,4,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",Mazagan_Ft,2688,Tara F,"Liberté d'expression ! Contre le capitalisme mondialiste et ses armes : islam conquérant, immigration massive, UE, écologisme, ""antiracisme"", ""antifascisme""..."
494593786,1096981528842829828,4,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",SabrinaOnBoard,2879,Sabrina En Grève ©️,Chaque jour qui passe nous rapproche de la guerre civile 🗺
494593786,1153273982168313857,4,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
33962372,4820481910,4,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
33962372,3337295067,4,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",CMARTYLUSO1,5535,CMARTYLUSO🎗♌🇵🇹🇫🇷 Z #Matricule158,"Penseur Libre & Transgresseur
ZEN Attitude
Détachement suivant Me. Eckhart
Respect & ALTÉRITÉ
Suivi par @NicolasSarkozy
@DidierMaisto @ivanrioufol"
1151888896223002624,823203148949061633,4,_OncleDom,1909,L'Oncle Dom,"Mes sympathies pour les réfugiés, migrants, LGBT et autres damnés de la terre m'ont permis, à force de travail, d'obtenir le statut de Bobo Bien Pensant.",slpng_giants_fr,16139,Sleeping Giants FR,"Collectif citoyen de lutte contre le financement du discours de haine
🇫🇷 #BrandSafety #LoveNotHate #FixAdvertising ✊"
901893722857766912,1394491848,4,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,IsabelleSurply,7754,Isabelle SURPLY,"Conseillère régionale RN | 🇫🇷 | Chargée de com' | Resp. 3eme Circo Loire | Candidate à la Mairie de Saint-Chamond (42)| graphiste, musicienne et maman de 4 !"
1121856729787043842,826324482272944128,4,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",imedmagroune2,5740,Imed Magroune #11Janvier2020🇫🇷,"IT Engineer. IoT Designer. In science I trust.
Et accessoirement fiché L."
1153273982168313857,4096090097,4,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-",racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
1121856729787043842,832272924727975937,4,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",MoniquePlaza3,3966,Monique Plaza,"féministe universaliste, laïque, républicaine, opposée à l’hyperlibéralisme prédateur et liberticide. Je bloque immédiatement les abonnés qui insultent."
1153273982168313857,33962372,4,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-",ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil"
1182764439902281729,1153273982168313857,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-"
1153273982168313857,4820481910,4,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-",Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
1121856729787043842,727542025336311809,4,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",thierry27200,6117,Titi paparisien,"Liberté, Nation 🇫🇷. Non manipulable. #MacreuxIllégitime #ForceRépublicaine «L’essentiel est sans cesse menacé par l’insignifiant» (René Char)"
901893722857766912,827151086733635584,4,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit
3373762791,4820481910,4,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
901893722857766912,2291358116,4,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,Henda_Ayari,28387,Henda Ayari,"Écrivain,conférencière,présidente de l'association Libératrices pr la défense des droits des femmes,lutte contre l'islamisme et les discriminations.
J❤la 🇫🇷"
901893722857766912,1182764439902281729,4,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z
1182764439902281729,1389044180,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,justelebonsens,2816,justunpeudebonsens,"Dirigeant de pme, essaye d'être guidé par le bon sens. Modéré par nature, à droite, exaspéré par le sectarisme d'1 gauche idéologue et crétine. Droite où es-tu?"
3373762791,528890147,4,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter",P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi
2431761083,198203427,4,_AngeBRK,9495,A. 👩🏾,"Égalité, justice, amour. ✝️ #BlackLivesMatter. http://paypal.me/auberginedandi. https://twitter.com/_AngeBRK/status/1023254716585791488?s=20",bettybombastik,422,,dont' marry rich be rich
1153273982168313857,494593786,4,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-",__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |"
1121856729787043842,2329034473,4,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",tvlofficiel,49975,,"Compte officiel de la première chaîne d'information alternative de #France. #TVL #Politique #Economie #Santé #Geopolitique 
Soutenez-nous !"
1153273982168313857,1394491848,4,raslecul2207,3155,Rachid,"Retraité des mines de charbon de Lorraine - Athée #NPA #LO #PCF #FI Non seulement je ne suis pas modéré, mais j'essaierai de ne jamais l'être. -Che Guevara-",IsabelleSurply,7754,Isabelle SURPLY,"Conseillère régionale RN | 🇫🇷 | Chargée de com' | Resp. 3eme Circo Loire | Candidate à la Mairie de Saint-Chamond (42)| graphiste, musicienne et maman de 4 !"
35879430,700044567,4,Kiddysmile,5397,Kiddy Sm!le,VOCALIST/ DJ SELECTOR / PERFORMER,FeizaBM,28235,Feïza Ben Mohamed,"Militante indignée, journaliste, présidente de @droitsdecites et chroniqueuse dans @LeGrandForumFM2 sur @FMaghreb2 #QuartiersPop #Islamophobie"
1182764439902281729,304858372,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,lorquaphilip,3955,Maximus Decimus,"Général des armées romaines, commandant des légions Félix..."
1182764439902281729,4096090097,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
1121856729787043842,1182764439902281729,4,stephaneworld,270,𝑺𝑻𝑬𝑭𝑭 ✞,"La France ⚜, mon royaume, terre de mes ancêtres. Mon ennemi la « République » : régime capitaliste anti-France, créé par la Franc-maçonnerie et la bourgeoisie.",GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z
1182764439902281729,4820481910,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein."
494593786,1389044180,4,__Verlaine__,32976,Verlaine,"Blogueur | #France 🇫🇷 au ❤ | #Kto | #Conservateur | Team #BleuBlancBlack |
#Rugby🏉 #VietVoDao🥋 | #StopExcision #LigueCancer #AideSDF | #NatureAmazing |",justelebonsens,2816,justunpeudebonsens,"Dirigeant de pme, essaye d'être guidé par le bon sens. Modéré par nature, à droite, exaspéré par le sectarisme d'1 gauche idéologue et crétine. Droite où es-tu?"
87156428,276934698,4,AlexDevecchio,28151,,"Journaliste @Le_Figaro le @FigaroMagazine_, en charge du @FigaroVox. Auteur de ""Recomposition, le nouveau monde populiste"". Chroniqueur @CNEWS et @i24NEWS_FR",valerieboyer13,75180,,Députée LR des Bouches-du-Rhône / ancienne auditrice à l'IHEDN
4820481910,4096090097,4,Catherine7515,477,Catherine75,"Trublion permanent
""Le monde ne sera pas détruit par ceux qui font le mal, mais par ceux qui les regardent sans rien faire"" Einstein.",racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
727425382169849856,2329034473,4,Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr,tvlofficiel,49975,,"Compte officiel de la première chaîne d'information alternative de #France. #TVL #Politique #Economie #Santé #Geopolitique 
Soutenez-nous !"
1182764439902281729,528890147,4,GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi
901893722857766912,4096090097,4,Fredodu13007,664,fred 🇫🇷🇫🇷🇷🇺🇮🇹✈️,suis moi et tu verras 🤷🏻‍♂️,racinesdavenir,6704,Racines d'Avenir,"Mouvement politique de la jeunesse conservatrice, entrepreneuriale & populaire | Président: @tegnererik |🇫🇷"
33962372,941995273,4,ChLECHEVALIER,20951,Ch.LECHEVALIER,"Gaulliste, ex-RPR / DLR, avec Marine en Ille & Vilaine. Conseiller Régional BzH, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, DEA de Droit Civil",jchribuisson,23678,J-Christophe Buisson,"Directeur-adjoint @FigaroMagazine_, polémique @onrefaitlemonde @RTLFrance,présente #HistoriquementShow @histoiretv, écris sur Serbie, Russie, 1917, Siècle rouge"
827151086733635584,837182934683627525,4,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit,Mazagan_Ft,2688,Tara F,"Liberté d'expression ! Contre le capitalisme mondialiste et ses armes : islam conquérant, immigration massive, UE, écologisme, ""antiracisme"", ""antifascisme""..."
276934698,87156428,4,valerieboyer13,75180,,Députée LR des Bouches-du-Rhône / ancienne auditrice à l'IHEDN,AlexDevecchio,28151,,"Journaliste @Le_Figaro le @FigaroMagazine_, en charge du @FigaroVox. Auteur de ""Recomposition, le nouveau monde populiste"". Chroniqueur @CNEWS et @i24NEWS_FR"
2877116435,3373762791,4,YannickMartin9,1562,YM 🇫🇷🇪🇸🇮🇱✝️🔯,l'important n'est pas ce que l'on dit mais ce que l'autre comprend,GWGoldnadel,89338,G-William Goldnadel,"Avocat, essayiste, président d'Avocats sans frontières. Chroniqueur au Figaro et aux @GG_RMC . Fondateur de @GoldnadelTv et décodeur patenté de France Inter"
276934698,773877078752104453,4,valerieboyer13,75180,,Députée LR des Bouches-du-Rhône / ancienne auditrice à l'IHEDN,Thompson_2017,2244,🎣bThompson #fxBellamy #MerciFF Matric.2342 🇫🇷,Le Trocadéro - le 5 mars 2017 #PrésidentielleTruquée - rdv manqué avec l'histoire pour la FR. Droite Trocadéro 🇫🇷 #fxBellamy #AvecAubert #ObjectifFrance #FR
456777022,2953506202,4,JeanMessiha,56076,Jean MESSIHA,"Membre du Bureau National du @RNational_off, Délégué National « Études et Argumentaires ». Venu d’ailleurs, devenu d’ici. Vive la France ! ❤️🇫🇷❤️",cajounice,5868,CajouDesCollines ♦️🎗,POUR QUE LA FRANCE RESTE LA FRANCE 🇫🇷 NE PAS SUBIR !!!! NS LW JA combien de déceptions ....Je bloque les dragueurs ...
405336045,456777022,4,RdeMontauban,7274,𝕽𝖊𝖓𝖆𝖚𝖉 𝖉𝖊 𝕸𝖔𝖓𝖙𝖆𝖚𝖇𝖆𝖓,Double maléfique de Renaud de Montauban. Mes tweets n'engagent que la #LigueDuLOL,JeanMessiha,56076,Jean MESSIHA,"Membre du Bureau National du @RNational_off, Délégué National « Études et Argumentaires ». Venu d’ailleurs, devenu d’ici. Vive la France ! ❤️🇫🇷❤️"
827151086733635584,572122341,4,dragonduclos,14763,Barbara78,Il est toujours beaucoup plus tard qu'on ne le croit,tprincedelamour,24367,Napoléon,J'Œuvre au Rassemblement des #Patriotes pour sauver le pays!
528890147,1394491848,4,P_Vardon,24001,Philippe Vardon,IDENTITÉ - DÉMOCRATIE - LOCALISME Engagé et enraciné à #Nice06 • Vice-président @rn_paca • Bureau national @RNational_off • Avec @MLP_officiel @matteosalvinimi,IsabelleSurply,7754,Isabelle SURPLY,"Conseillère régionale RN | 🇫🇷 | Chargée de com' | Resp. 3eme Circo Loire | Candidate à la Mairie de Saint-Chamond (42)| graphiste, musicienne et maman de 4 !"
789420103787958272,1182764439902281729,4,patrick_edery,24910,Patrick Edery,"Editorialiste🇫🇷 à Tygodnik Solidarnosc-portal Tysol, l'hebdomadaire & site d'information du syndicat polonais ""Solidarité"".",GaucheMafia,4463,LaGaucheMafia,#Patriote #Souverainiste #Chrétien ✝️🇫🇷✡ Pro #Poutine🇷🇺 #Trump🇺🇲 #MAGA #Israel🇮🇱 #Pologne🇵🇱 #Czech🇨🇿 #Orbán🇭🇺 #Salvini🇮🇹 #Zemmour🇫🇷 #Z
941995273,727425382169849856,4,jchribuisson,23678,J-Christophe Buisson,"Directeur-adjoint @FigaroMagazine_, polémique @onrefaitlemonde @RTLFrance,présente #HistoriquementShow @histoiretv, écris sur Serbie, Russie, 1917, Siècle rouge",Olivier_Monteil,12898,Olivier MONTEIL,Conseiller régional RN #Occitanie I Membre du Conseil National du RN I Délégué départemental RN des Hautes-Pyrénées #RN I Officier supérieur I Saint-Cyr
